link_facebook,Content,Date
https://www.facebook.com/dangbuiit1,"hello hallo hola 
Theo Edgar H. Schein, văn hóa doanh nghiệp có thể chia thành ba cấp độ khác nhau:
Level 1 - Visible Artifacts: Các yếu tố dễ quan sát bên ngoài như biểu hiện ngoại hình, các biểu tượng, biểu trưng, ngôn ngữ, sản phẩm, văn hóa vật thể như kiến trúc, thiết kế, thời trang và các biểu hiện khác mà mọi người có thể thấy và trải nghiệm.
Level 2 - Espoused Values: Những giá trị, tư duy, nguyên tắc mà tổ chức công khai và chia sẻ. Đây là các yếu tố ẩn sau các hành vi và quyết định của tổ chức và thể hiện tư duy, tri thức và quan điểm của người trong tổ chức.
Level 3 - Basic Assumptions: Đây là những niềm tin, giả định về cách thức hoạt động của thế giới, cách mà tổ chức nên hoạt động và tương tác. Điều này thường không được người trong tổ chức tự ý nhận thức mà thường tồn tại dưới dạng vô thức.
Những cấp độ này tương tác với nhau để tạo nên văn hóa tổ chức và ảnh hưởng đến cách tổ chức hoạt động và tương tác trong môi trường.",2023-09-15 22:39:05
https://www.facebook.com/dangbuiit1,Các em năm nay khó khăn quá,2023-09-15 22:39:09
https://www.facebook.com/dangbuiit1,"""Có 3 điểm 10 hẵng nghĩ tới ngành Khoa học máy tính của Bách khoa"", trích lời 1 PGS từ 1 năm nào đó
Tới tận giờ này, HUST ĐÃ CHÍNH THỨC LÀM ĐƯỢC rồi các bạn ạ
. 
Hãy mang ĐỐI THỦ tới đây nào các bạn ơi ",2023-09-15 22:39:09
https://www.facebook.com/dangbuiit1,Về quê ăn vải !!,2023-09-15 22:39:09
https://www.facebook.com/dangbuiit1,"Nguồn gốc của quả vải thiều là ở đâu? 
Trải nghiệm trực tiếp hái quả vải tại vườn. ",2023-09-15 22:39:09
https://www.facebook.com/dangbuiit1,"Vua Lê trả gươm thủa khai quốc 
Tháp rùa sừng sững mấy trăm năm 
Sương đêm nựng nhẹ trên mái tóc
Nhớ về thủa ấy ta đã từng!! ",2023-09-15 22:39:09
https://www.facebook.com/dangbuiit1,"Hồ Tây long bong một vòng 
Mênh mang sóng nước nhớ hình bóng ai !",2023-09-15 22:39:09
https://www.facebook.com/dangbuiit1,Chúc bạn sinh nhật vui vẻ,2023-09-15 22:39:14
https://www.facebook.com/dangbuiit1,Happy birthday,2023-09-15 22:39:14
https://www.facebook.com/profile.php?id=100012881801899,"BK ECOGREEN
Vòng 1: Hành trình đêm ngày
https://bit.ly/BKEcogreen3rd
#HSVBKHN #BKECOGREEN3rd #BeGreenBeNatural",2023-09-15 22:39:41
https://www.facebook.com/profile.php?id=100012881801899,!!!,2023-09-15 22:39:41
